,sex,row_number,liters_drunk,drink,check_number,label,age_child,age_adult,age_old,morning,day,evening
0,0,90.0,1.0,1,8092,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,0,81.0,4.0,1,4252,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,1,14.0,3.0,0,6913,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3,1,0.0,1.0,0,8479,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
4,1,84.0,1.0,0,6279,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
5,1,53.0,0.0,1,4814,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
6,1,1.0,2.0,0,8230,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
7,0,89.0,2.0,0,9240,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8,1,3.0,2.0,0,9280,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
9,1,74.0,4.0,0,5443,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
10,1,87.0,3.0,1,6134,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
11,1,64.0,2.0,1,9376,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
12,1,82.0,2.5,0,7784,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
13,1,1.0,5.0,0,6163,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
14,1,47.0,3.0,0,3558,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
15,1,13.0,2.0,0,1290,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
16,0,71.0,4.0,0,2699,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
17,0,7.0,3.0,0,2181,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
18,1,94.0,4.0,0,3503,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
19,0,80.0,1.0,0,554,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
20,0,23.0,2.0,0,9331,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
21,0,32.0,5.0,0,4676,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
22,0,100.0,2.5,0,4190,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
23,1,27.0,2.0,0,5131,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
24,0,100.0,2.5,0,1705,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
